name,sequence,file,vol_min,vol_max,pitch_min,pitch_max,dist_min,dist_max,dist_reverb_max,bus,priority,spatialized,type,limit_count,limit_type,probability,loop,masterslave,loadspec,subtitle,compression,secondaryaliasname,chainaliasname,volumefalloffcurve,startdelay,speakermap,reverb,lfe percentage,center percentage,platform,envelop_min,envelop_max,envelop percentage
# Battlechatter MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# RU Redshirt 0 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RU_0_landmark_asylum_area1,1,battlechatter/ru/0/mp/RU_0_landmark_asylum_area1_00.wav,0.95,0.95,1,1,400,2800,3200,voice,60,3d,streamed,1,reject,,,0.7,all_mp,,,,,,,,,,,,,,
RU_0_landmark_asylum_area2,1,battlechatter/ru/0/mp/RU_0_landmark_asylum_area2_00.wav,0.95,0.95,1,1,400,2800,3200,voice,60,3d,streamed,1,reject,,,0.7,all_mp,,,,,,,,,,,,,,
RU_0_landmark_asylum_area3,1,battlechatter/ru/0/mp/RU_0_landmark_asylum_area3_00.wav,0.95,0.95,1,1,400,2800,3200,voice,60,3d,streamed,1,reject,,,0.7,all_mp,,,,,,,,,,,,,,
RU_0_landmark_asylum_area4,1,battlechatter/ru/0/mp/RU_0_landmark_asylum_area4_00.wav,0.95,0.95,1,1,400,2800,3200,voice,60,3d,streamed,1,reject,,,0.7,all_mp,,,,,,,,,,,,,,
RU_0_landmark_asylum_area5,1,battlechatter/ru/0/mp/RU_0_landmark_asylum_area5_00.wav,0.95,0.95,1,1,400,2800,3200,voice,60,3d,streamed,1,reject,,,0.7,all_mp,,,,,,,,,,,,,,
RU_0_landmark_asylum_area6,1,battlechatter/ru/0/mp/RU_0_landmark_asylum_area6_00.wav,0.95,0.95,1,1,400,2800,3200,voice,60,3d,streamed,1,reject,,,0.7,all_mp,,,,,,,,,,,,,,
RU_0_landmark_asylum_area7,1,battlechatter/ru/0/mp/RU_0_landmark_asylum_area7_00.wav,0.95,0.95,1,1,400,2800,3200,voice,60,3d,streamed,1,reject,,,0.7,all_mp,,,,,,,,,,,,,,
RU_0_landmark_asylum_area8,1,battlechatter/ru/0/mp/RU_0_landmark_asylum_area8_00.wav,0.95,0.95,1,1,400,2800,3200,voice,60,3d,streamed,1,reject,,,0.7,all_mp,,,,,,,,,,,,,,
RU_0_landmark_asylum_area9,1,battlechatter/ru/0/mp/RU_0_landmark_asylum_area9_00.wav,0.95,0.95,1,1,400,2800,3200,voice,60,3d,streamed,1,reject,,,0.7,all_mp,,,,,,,,,,,,,,
RU_0_landmark_asylum_area10,1,battlechatter/ru/0/mp/RU_0_landmark_asylum_area10_00.wav,0.95,0.95,1,1,400,2800,3200,voice,60,3d,streamed,1,reject,,,0.7,all_mp,,,,,,,,,,,,,,
RU_0_landmark_dome_area1,1,battlechatter/ru/0/mp/RU_0_landmark_dome_area1_00.wav,0.95,0.95,1,1,400,2800,3200,voice,60,3d,streamed,1,reject,,,0.7,all_mp,,,,,,,,,,,,,,
RU_0_landmark_dome_area2,1,battlechatter/ru/0/mp/RU_0_landmark_dome_area2_00.wav,0.95,0.95,1,1,400,2800,3200,voice,60,3d,streamed,1,reject,,,0.7,all_mp,,,,,,,,,,,,,,
RU_0_landmark_dome_area3,1,battlechatter/ru/0/mp/RU_0_landmark_dome_area3_00.wav,0.95,0.95,1,1,400,2800,3200,voice,60,3d,streamed,1,reject,,,0.7,all_mp,,,,,,,,,,,,,,
RU_0_landmark_dome_area4,1,battlechatter/ru/0/mp/RU_0_landmark_dome_area4_00.wav,0.95,0.95,1,1,400,2800,3200,voice,60,3d,streamed,1,reject,,,0.7,all_mp
RU_0_landmark_dome_area5,1,battlechatter/ru/0/mp/RU_0_landmark_dome_area5_00.wav,0.95,0.95,1,1,400,2800,3200,voice,60,3d,streamed,1,reject,,,0.7,all_mp
RU_0_landmark_dome_area6,1,battlechatter/ru/0/mp/RU_0_landmark_dome_area6_00.wav,0.95,0.95,1,1,400,2800,3200,voice,60,3d,streamed,1,reject,,,0.7,all_mp
RU_0_landmark_dome_area7,1,battlechatter/ru/0/mp/RU_0_landmark_dome_area7_00.wav,0.95,0.95,1,1,400,2800,3200,voice,60,3d,streamed,1,reject,,,0.7,all_mp
RU_0_landmark_dome_area8,1,battlechatter/ru/0/mp/RU_0_landmark_dome_area8_00.wav,0.95,0.95,1,1,400,2800,3200,voice,60,3d,streamed,1,reject,,,0.7,all_mp
RU_0_landmark_dome_area9,1,battlechatter/ru/0/mp/RU_0_landmark_dome_area9_00.wav,0.95,0.95,1,1,400,2800,3200,voice,60,3d,streamed,1,reject,,,0.7,all_mp
RU_0_landmark_dome_area10,1,battlechatter/ru/0/mp/RU_0_landmark_dome_area10_00.wav,0.95,0.95,1,1,400,2800,3200,voice,60,3d,streamed,1,reject,,,0.7,all_mp
RU_0_landmark_downfall_area1,1,battlechatter/ru/0/mp/RU_0_landmark_downfall_area1_00.wav,0.95,0.95,1,1,400,2800,3200,voice,60,3d,streamed,1,reject,,,0.7,all_mp
RU_0_landmark_downfall_area2,1,battlechatter/ru/0/mp/RU_0_landmark_downfall_area2_00.wav,0.95,0.95,1,1,400,2800,3200,voice,60,3d,streamed,1,reject,,,0.7,all_mp
RU_0_landmark_downfall_area3,1,battlechatter/ru/0/mp/RU_0_landmark_downfall_area3_00.wav,0.95,0.95,1,1,400,2800,3200,voice,60,3d,streamed,1,reject,,,0.7,all_mp
RU_0_landmark_downfall_area4,1,battlechatter/ru/0/mp/RU_0_landmark_downfall_area4_00.wav,0.95,0.95,1,1,400,2800,3200,voice,60,3d,streamed,1,reject,,,0.7,all_mp
RU_0_landmark_downfall_area5,1,battlechatter/ru/0/mp/RU_0_landmark_downfall_area5_00.wav,0.95,0.95,1,1,400,2800,3200,voice,60,3d,streamed,1,reject,,,0.7,all_mp
RU_0_landmark_downfall_area6,1,battlechatter/ru/0/mp/RU_0_landmark_downfall_area6_00.wav,0.95,0.95,1,1,400,2800,3200,voice,60,3d,streamed,1,reject,,,0.7,all_mp
RU_0_landmark_downfall_area7,1,battlechatter/ru/0/mp/RU_0_landmark_downfall_area7_00.wav,0.95,0.95,1,1,400,2800,3200,voice,60,3d,streamed,1,reject,,,0.7,all_mp
RU_0_landmark_downfall_area8,1,battlechatter/ru/0/mp/RU_0_landmark_downfall_area8_00.wav,0.95,0.95,1,1,400,2800,3200,voice,60,3d,streamed,1,reject,,,0.7,all_mp
RU_0_landmark_downfall_area9,1,battlechatter/ru/0/mp/RU_0_landmark_downfall_area9_00.wav,0.95,0.95,1,1,400,2800,3200,voice,60,3d,streamed,1,reject,,,0.7,all_mp
RU_0_landmark_downfall_area10,1,battlechatter/ru/0/mp/RU_0_landmark_downfall_area10_00.wav,0.95,0.95,1,1,400,2800,3200,voice,60,3d,streamed,1,reject,,,0.7,all_mp
