name,platform,mature,file,sequence,vol_min,vol_max,dist_min,dist_max,limit_count,limit_type,entity_limit_count,entity_limit_type,bus,volume_min_falloff_curve,volumefalloffcurve,reverb_send,dist_reverb_max,reverb_min_falloff_curve,reverb_falloff_curve,pitch_min,pitch_max,randomize_type,spatialized,type,probability,loop,masterslave,loadspec,subtitle,compression,secondaryaliasname,chainaliasname,startdelay,speakermap,lfe percentage,center percentage,envelop_min,envelop_max,envelop percentage,occlusion_level,occlusion_wet_dry,real_delay,distance_lpf,move_type,move_time,min_priority,max_priority,min_priority_threshold,max_priority_threshold,subtitle

# Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

# NEW Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mx_underscore,,,Stream/Music/Mission/ber3b/final/mx_underscore.wav,,0.85,0.85,,,,,,,music,,,0,,,,1,1,,2d,streamed,,looping,0.8,,,,,,,music,,,,,,,,,,,,100,100,0.25,1,
mx_intro_stinger,,,Stream\Music\Mission\ber3b\final\mx_intro.wav,,0.55,0.55,,,,,,,music,,,0,,,,1,1,,2d,streamed,,,0.65,,,,,,6500,music_all,,,,,,,,,,,,100,100,0.25,1,
mx_parliament_room,,,Stream/Music/Mission/ber3b/final/mx_fight_parliamen_guitar.wav,,0.75,0.75,,,,,,,music,,,0,,,,1,1,,2d,streamed,,looping,0.8,,,,,,,music,,,,,,,,,,,,100,100,0.25,1,
mx_parliament_downstairs,,,Stream/Music/Mission/ber3b/final/mx_fight_downstairs.wav,,0.8,0.8,,,,,,,music,,,0,,,,1,1,,2d,streamed,,looping,0.8,,,,,,,music,,,,,,,,,,,,100,100,0.25,1,
mx_parliament_stg,,,Stream/Music/Mission/ber3b/mx_flag_stinger.wav,,1,1,,,,,,,music,,,0,,,,1,1,,2d,streamed,,,0.8,,,,,,,music_all,,,,,,,,,,,,100,100,0.25,1,
mx_rusky_flag_stinger,,,Stream/Music/Mission/ber3b/mx_flag_stinger.wav,,1,1,,,,,,,music,,,0,,,,1,1,,2d,streamed,,,0.8,,,,,,4000,music,,,,,,,,,,,,100,100,0.25,1,
mx_rusky_door_stinger,,,Stream/Music/Mission/ber3b/mx_door_stinger.wav,,1,1,,,,,,,music,,,0,,,,1,1,,2d,streamed,,,0.8,,,,,,8000,music,,,,,,,,,,,,100,100,0.25,1,
mx_rusky_tremelo_stinger,,,Stream/Music/Mission/ber3b/mx_thremolo_stinger.wav,,1,1,,,,,,,music,,,0,,,,1,1,,2d,streamed,,,0.8,,,,,,,music,,,,,,,,,,,,100,100,0.25,1,
mx_rusky_end_stinger,,,Stream/Music/Mission/ber3b/mx_end_battle_stinger.wav,,1,1,,,,,,,music,,,0,,,,1,1,,2d,streamed,,,0.8,,,,,,,music,,,,,,,,,,,,100,100,0.25,1,
#mx_rusky_anthem,,,Stream/Music/Mission/ber3b/final/mx_rus_anthem.wav,,0.75,0.75,,,,,,,music,,,,,,,1,1,,2d,streamed,,,0.8,,,,,,,music_all,,,,,,,,,,,,100,100,0.25,1,
mx_bold_stg,,,Stream/Music/Mission/ber3b/final/mx_bold_stg.wav,,0.55,0.55,,,,,,,music,,,0,,,,1,1,,2d,streamed,,,0.8,,,,,,,music_all,,,,,,,,,,,,100,100,0.25,1,
mx_theme_stg,,,Stream/Music/Mission/ber3b/final/mx_theme_stg.wav,,0.75,0.75,,,,,,,music,,,0,,,,1,1,,2d,streamed,,,0.8,,,,,,,music_all,,,,,,,,,,,,100,100,0.25,1
mx_diary_brutal,,,Stream/Music/Mission/ber3b/final/mx_diary_brutal.wav,,1,1,,,,,,,music,,,0,,,,1,1,,2d,streamed,,,0.8,,,,,,,music_all,,,,,,,,,,,,100,100,0.25,1
mx_flag_loop,,,Stream\Music\Mission\sniper\mx_sniper_loop.wav,,0.8,0.8,,,,,,,music,,,0,,,,1,1,,2d,streamed,,looping,,,,,,,,music,,,,,,,,,,,,100,100,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_spooky_2d,,,SFX\Levels\zombie\proto\amb_spooky_2d_##,,0.55,0.75,,,2,reject,,,full_vol,,,,,,,0.94,1.04,,2d,,,,0.3,,,,,,,music_all,,,,,,0,,,,,,10,20,0.25,1
sparks,,,SFX\Levels\sniper\sparks_##,,0.45,0.55,400,800,,,,,ambience,,,,,,,,,,3d,,,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1

mx_theme_loop,,,Stream/Music/Mission/ber3b/final/mx_theme_loop.wav,,0.9,0.9,,,,,,,music,,,0,,,,1,1,,2d,streamed,,looping,0.7,,,,,,,music_all,,,,,,,,,,,,100,100,0.25,1
mx_theme_loop_stg,,,Stream/Music/Mission/ber3b/final/mx_theme_loop_stg.wav,,0.8,0.8,,,,,,,music,,,0,,,,1,1,,2d,streamed,,,0.7,,,,,,,music_all,,,,,,,,,,,,100,100,0.25,1
mx_roof_loop,,,Stream/Music/Mission/ber3b/final/mx_roof_loop.wav,,0.8,0.8,,,,,,,music,,,0,,,,1,1,,2d,streamed,,looping,0.8,,,,,,,music_all,,,,,,,,,,,,100,100,0.25,1
mx_planted_stg,,,Stream/Music/Mission/ber3b/final/mx_planted_stg.wav,,0.48,0.48,,,,,,,music,,,0,,,,1,1,,2d,streamed,,,0.78,,,,,,,music_all,,,,,,,,,,,,100,100,0.25,1
mx_rus_anthem_final,,,Stream\Music\Mission\ber3b\final\mx_rus_anthem_final.wav,,0.48,0.48,,,,,,,music,,,0,,,,1,1,,2d,streamed,,,0.78,,,,,,,music_all,,,,,,,,,,,,100,100,0.25,1
# AMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
general_interior,,,Stream/Backgrounds/Room_Tones/ber3b_closed_00.wav,,0.35,0.35,,,,,,,ambience,,,,,,,1,1,,2d,streamed,,looping,,,,,,,,ambience,,,,,,,,,,,,100,100,0.25,1
outdoor_wind,,,Stream/Backgrounds/Wind/ext_wind/ext_winda_st_00.wav,,0.3,0.3,,,,,,,ambience,,,,,,,1,1,,2d,streamed,,looping,,,,,,,,ambience,,,,,,,,,,,,100,100,0.25,1
outdoor_wind_line,,,Stream/Backgrounds/Wind/ext_wind/ext_winda_mn_00.wav,,0.5,0.5,10000,10000,,,,,ambience,,,,,,,1,1,,3d,streamed,,looping,,,,,,,,,,,,,,,,,,,,100,100,0.25,1
