name,platform,file,sequence,vol_min,vol_max,dist_min,dist_max,limit_count,limit_type,entity_limit_count,entity_limit_type,bus,volume_min_falloff_curve,volumefalloffcurve,reverb_send,dist_reverb_max,reverb_min_falloff_curve,reverb_falloff_curve,pitch_min,pitch_max,randomize_type,spatialized,type,probability,loop,masterslave,loadspec,subtitle,compression,secondaryaliasname,chainaliasname,startdelay,speakermap,lfe percentage,center percentage,envelop_min,envelop_max,envelop percentage,occlusion_level,occlusion_wet_dry,real_delay,distance_lpf,move_type,move_time,min_priority,max_priority,min_priority_threshold,max_priority_threshold,subtitle
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Footsteps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mx_intro,,Stream\Music\Mission\ber1\mx_intro.wav,,1,1,,,,,,,music,,,0,,,,,,,2d,streamed,,,,,,,,,,music,,,,,,,,,,,,100,100,0.25,1,
mx_underscore,,Stream\Music\Mission\ber1\mx_underscore.wav,,1,1,,,,,,,music,,,0,,,,,,,2d,streamed,,looping,,,,,,,,music,,,,,,,,,,,,100,100,0.25,1,
mx_asylum,,Stream\Music\Mission\ber1\mx_asylum.wav,,1,1,,,,,,,music,,,0,,,,,,,2d,streamed,,looping,,,,,,,,music_all,,,,,,,,,,,,100,100,0.25,1,
mx_burst_loop,,Stream\Music\Mission\ber1\mx_o_burst_loop.wav,,1,1,,,,,,,music,,,0,,,,,,,2d,streamed,,looping,,,,,,,,music,,,,,,,,,,,,100,100,0.25,1,
mx_burst_drum_loop,,Stream\Music\Mission\ber1\mx_burst_drum_loop.wav,,1,1,,,,,,,music,,,0,,,,,,,2d,streamed,,looping,,,,,,,,music,,,,,,,,,,,,100,100,0.25,1,
mx_tank_stg,,Stream\Music\Mission\ber1\mx_tank_leadup.wav,,1,1,,,,,,,music,,,0,,,,,,,2d,streamed,,,,,,,,,,music_all,,,,,,,,,,,,100,100,0.25,1,
mx_tank_destroyed,,Stream\Music\Mission\ber1\mx_tank_hit_stg.wav,,1,1,,,,,,,music,,,0,,,,,,,2d,streamed,,,,,,,,,2500,music_all,,,,,,,,,,,,100,100,0.25,1,

mx_final_push,,Stream\Music\Mission\ber1\mx_final_push.wav,,0.75,0.75,,,,,,,music,,,0,,,,,,,2d,streamed,,,0.75,,,,,,6000,music_all,,,,,,,,,,,,100,100,0.25,1,




# AMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outdoor_wind,,Stream/Backgrounds/Wind/ext_wind/ext_wind_00.wav,,0.4,0.4,10,1000,,,,,ambience,,,,,,,1,1,,2d,streamed,,looping,,,,,,,,,,,,,,,,,,,,100,100,0.25,1
asylum_wind,,Stream/Backgrounds/Wind/int_wind/int_wind_00.wav,,0.5,0.5,,,,,,,ambience,,,,,,,,,,2d,streamed,,looping,,,,,,,,,,,,,,,,,,,,100,100,0.25,1
#train_station_wind,,Stream/Backgrounds/Wind/int_wind/int_wind_02.wav,,0.4,0.4,,,,,,,ambience,,,,,,,,,,2d,streamed,,looping,,,,,,,,,,,,,,,,,,,,100,100,0.25,1
#line_emit_planea,,SFX/Vehicles/Planes/P47/loop/loop_00.wav,,0.05,0.05,100,10000,,,,,ambience,,,,,,,,,,3d,,,looping,,,,,,,,,,,,,,,,,,,,,,,
#line_emit_planeb,,SFX/Vehicles/Planes/P47/loop/loop_01.wav,,0.05,0.05,100,10000,,,,,ambience,,,,,,,,,,3d,,,looping,,,,,,,,,,,,,,,,,,,,,,,
#line_emit_planec,,SFX/Vehicles/Planes/P47/loop/loop_02.wav,,0.6,0.6,100,10000,,,,,ambience,,,,,,,,,,3d,,,looping,,,,,,,,,,,,,,,,,,,,,,,

bomb_close,,SFX/Destruction/Explosion_Impact_##,,0.45,0.75,50,1500,,,,,ambience,,,,,,,,,,2d,,,,,,,,bomb_falloff,,,,,,,,,,,,,,,,,,
bomb_medium,,SFX/Destruction/Explosion_Impact_##,,0.25,0.35,100,500,,,,,ambience,,,,,,,,,,3d,,,,,,,,bomb_far_falloff,,,,,,,,,,,,,,,,,,
bomb_falloff,,SFX/Destruction/Explosion_Falloff_##,,0.9,0.95,100,4500,,,,,ambience,,,,,,,,,,2d,,,,,,,,,,,,,,,,,,,,,,,,,,
bomb_far,,SFX/Amb/bomb_far_##,,0.15,0.25,50,150,,,,,ambience,,,,,,,,,,3d,,,,,,,,bomb_far_falloff,,,,,,,,,,,,,,,,,,
bomb_far_falloff,,SFX/Destruction/Explosion_Falloff_##,,0.65,0.75,100,4500,,,,,ambience,,,,,,,,,,3d,,,,,,,,,,500,,,,,,,,,,,,,,,,
# Zone 1 city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
line_emit_forest,,Stream\Level\ber1\wind\line_windL.wav,,0.4,0.4,250,5000,,,,,ambience,,,,,,,1,1,,3d,streamed,,looping,,,,,,,,,,,,,,0,,,,,,100,100,0.25,1
