# This file maps impact types to effects
"# It can be overridden in part by just specifying some effects in a CSV file in the ""fx"" folder that has a later name alphabetically"
"# It has the simple syntax that the first column is the impact type, the second is the surface type, and the thrid is the effect name"
"# The impact type is one of: bullet_small_normal, bullet_small_exit, bullet_large_normal, bullet_large_exit, grenade_bounce, and grenade_explode"
"# The surface type is one of the valid surface impact types for the surfaceparm shader command, or ""default"".  Default is only used if the code cannot figure out the correct surface type"
"# The effect name should be a relative path starting after the ""fx"" folder in the game tree.  It should not include the "".efx"" extension."
"# The effect name may be left blank, in which case no effect is played for this impact."
"# If any impact effect has no row entry in any file, the game will not load any maps.  The console lists which surface types had no entries."
"# These effects usually should not specify sounds, since a corresponding sound alias will be played at the same time as the effect"
"# For bullet hits, two effects are played, either or both of which may be blank:"
"# The ""normal"" effect is played at the impact point facing the surface normal.  This should usually be used for decals."
"# The ""exit"" effect is played at the exit point when buller penetration is on."

"# flesh_head_nonfatal, flesh_body_fatal, flesh_head_nonfatal, and flesh_head_fatal specify specific effects to play when bullets injure flesh"
# these are used ONLY FOR BULLETS
"# If not specified, or if left blank, these will inherit whatever is in 'flesh' for the impacttype"

bullet_small_normal,default,impacts/default_hit
bullet_small_normal,bark,impacts/large_woodhit
bullet_small_normal,brick,impacts/small_brick
bullet_small_normal,carpet,impacts/default_hit
bullet_small_normal,cloth,impacts/cloth_hit
bullet_small_normal,concrete,impacts/small_concrete_1
bullet_small_normal,dirt,impacts/small_dirt_1
bullet_small_normal,flesh,
bullet_small_normal,foliage,impacts/small_foliage
bullet_small_normal,glass,impacts/small_glass
bullet_small_normal,grass,impacts/small_grass
bullet_small_normal,gravel,impacts/small_gravel
bullet_small_normal,ice,impacts/small_snowhit
bullet_small_normal,metal,impacts/small_metalhit_1
bullet_small_normal,mud,impacts/small_mud
bullet_small_normal,paper,impacts/default_hit
bullet_small_normal,plaster,impacts/small_plaster_1
bullet_small_normal,rock,impacts/small_rock_1
bullet_small_normal,sand,impacts/small_dirt_1
bullet_small_normal,snow,impacts/small_snowhit
bullet_small_normal,water,impacts/small_waterhit
bullet_small_normal,wood,impacts/large_woodhit
bullet_small_normal,asphalt,impacts/small_asphalt
bullet_small_normal,ceramic,impacts/default_hit
bullet_small_normal,plastic,impacts/default_hit
bullet_small_normal,rubber,impacts/default_hit
bullet_small_normal,cushion,impacts/fx_cushion_hit
bullet_small_normal,fruit,impacts/default_hit
bullet_small_normal,paintedmetal,impacts/default_hit
bullet_small_normal,flesh_body_nonfatal,impacts/flesh_hit_body_nonfatal
bullet_small_normal,flesh_body_fatal,impacts/flesh_hit_body_nonfatal
bullet_small_normal,flesh_head_nonfatal,impacts/flesh_hit_body_nonfatal
bullet_small_normal,flesh_head_fatal,impacts/flesh_hit_body_nonfatal
bullet_small_normal,player,
bullet_small_normal,tallgrass,impacts/small_grass

bullet_small_exit,default,impacts/default_hit
bullet_small_exit,bark,impacts/large_woodhit
bullet_small_exit,brick,impacts/small_brick
bullet_small_exit,carpet,impacts/default_hit
bullet_small_exit,cloth,impacts/cloth_hit
bullet_small_exit,concrete,impacts/small_concrete_1
bullet_small_exit,dirt,impacts/small_dirt_1
bullet_small_exit,flesh,
bullet_small_exit,foliage,impacts/small_foliage
bullet_small_exit,glass,impacts/small_glass
bullet_small_exit,grass,impacts/small_grass
bullet_small_exit,gravel,impacts/small_gravel
bullet_small_exit,ice,impacts/small_snowhit
bullet_small_exit,metal,impacts/small_metalhit_1
bullet_small_exit,mud,impacts/small_mud
bullet_small_exit,paper,impacts/default_hit
bullet_small_exit,plaster,impacts/small_plaster_1
bullet_small_exit,rock,impacts/small_rock
bullet_small_exit,sand,impacts/small_dirt_1
bullet_small_exit,snow,impacts/small_snowhit
bullet_small_exit,water,impacts/fx_bullet_water_trail_uw
bullet_small_exit,wood,impacts/large_woodhit
bullet_small_exit,asphalt,impacts/small_asphalt
bullet_small_exit,ceramic,impacts/default_hit
bullet_small_exit,plastic,impacts/default_hit
bullet_small_exit,rubber,impacts/default_hit
bullet_small_exit,cushion,impacts/fx_cushion_hit
bullet_small_exit,fruit,impacts/default_hit
bullet_small_exit,paintedmetal,impacts/default_hit
